Lista;Circoscrizione;Numero Candidato;Candidato
 +EUROPA;AFRICA ASIA OCEANIA ANTARTIDE;1;TOTORO ALESSANDRO 
 +EUROPA;AMERICA MERIDIONALE;1;BILLI SANDRO 
 +EUROPA;AMERICA MERIDIONALE;2;BARBERIS WALTER 
 +EUROPA;AMERICA MERIDIONALE;3;LUCARELLI MONICA 
 +EUROPA;AMERICA MERIDIONALE;4;MITRANI GABRIELE 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;1;GALTIERI FRANCESCO 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;2;CASCINO MARIATERESA 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;3;ROMANO CESARE PAOLO RICCARDO 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;4;CILIBERTO ROBERTO 
 +EUROPA;EUROPA;1;FUSACCHIA ALESSANDRO 
 +EUROPA;EUROPA;2;HERMANIN DE REICHENFELD COSTANZA DETTA COSTANZA HERMANIN
 +EUROPA;EUROPA;3;ZAPPINO VINCENZO 
 +EUROPA;EUROPA;4;RUBINI DAVIDE 
 +EUROPA;EUROPA;5;TALARICO ROBERTA 
 +EUROPA;EUROPA;6;JURI LUKA 
 +EUROPA;EUROPA;7;FERRARO MARCO 
 +EUROPA;EUROPA;8;BASTA CLAUDIA 
 +EUROPA;EUROPA;9;LERARIO ALESSANDRO 
 +EUROPA;EUROPA;10;PASTORELLA GIULIA 
CIVICA POPOLARE LORENZIN;AFRICA ASIA OCEANIA ANTARTIDE;1;IRACE MIRELLA 
CIVICA POPOLARE LORENZIN;AFRICA ASIA OCEANIA ANTARTIDE;2;DI PIETRO ANGELO 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;1;BUENO RENATA 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;2;DEBERNARDI NICOLAS 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;3;ALCIATI SILVIA 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;4;MARTINEZ EDUARDO RAFAEL 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;5;SEHNEM SIMONE 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;6;CONDE NESTOR MARCELO 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;7;STARLING DE ARAUJO ELAINE 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;8;DULIN SILVANA INES 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;1;DI PIERDOMENICO ROSANNA 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;2;MANNINO GIOVANNI 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;3;QUARTAROLI ALBERTO 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;4;SERAFINI DOMENICO DETTO DOM
CIVICA POPOLARE LORENZIN;EUROPA;1;AUFIERO FRANCO 
