Lista;Circoscrizione;Numero Candidato;Candidato
 +EUROPA;AFRICA ASIA OCEANIA ANTARTIDE;1;DI MATTEO MARIA FLORA 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;1;PALAZZOTTO LUCA 
 +EUROPA;AMERICA SETTENTRIONALE E CENTRALE;2;GENNARI GIOVANNI 
 +EUROPA;EUROPA;1;ALEMANNO ALBERTO 
 +EUROPA;EUROPA;2;ATZORI PAOLO 
 +EUROPA;EUROPA;3;VAUDO ERSILIA 
 +EUROPA;EUROPA;4;RADAELLI CLAUDIO MARIA 
CIVICA POPOLARE LORENZIN;AFRICA ASIA OCEANIA ANTARTIDE;1;BRIENZA NICOLA 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;1;MONTANARINI HELENA 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;2;BARRA RODOLFO CARLOS 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;3;DI MARZO TREZZA FERNANDO MAURO 
CIVICA POPOLARE LORENZIN;AMERICA MERIDIONALE;4;TAIANO ALVAREZ JOSE' VICENTE 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;1;BARLETTA EMILIO 
CIVICA POPOLARE LORENZIN;AMERICA SETTENTRIONALE E CENTRALE;2;NAVARRA VERONICA 
CIVICA POPOLARE LORENZIN;EUROPA;1;ALLOGGIA ENZO 
CIVICA POPOLARE LORENZIN;EUROPA;2;CAPPELLI LUIGI 
CIVICA POPOLARE LORENZIN;EUROPA;3;ORRIGO MANUELA 
CIVICA POPOLARE LORENZIN;EUROPA;4;PICONE ENZO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AFRICA ASIA OCEANIA ANTARTIDE;1;CRISTAUDI SALVATORE 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AFRICA ASIA OCEANIA ANTARTIDE;2;PARATICO ANGELO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AMERICA MERIDIONALE;1;PASTORE LUIZ OSVALDO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AMERICA MERIDIONALE;2;BACCHIA ENZO ROBERTO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AMERICA MERIDIONALE;3;DORINI ANDREA 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AMERICA SETTENTRIONALE E CENTRALE;1;ALDERISI FRANCESCA 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;AMERICA SETTENTRIONALE E CENTRALE;2;CORTELLUCCI MARIO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;1;FANTETTI RAFFAELE 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;2;FIORE MARCO 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;3;ORLANDINI SIMONE 
LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI;EUROPA;4;RULFI STEFANIA 
LIBERI E UGUALI;AFRICA ASIA OCEANIA ANTARTIDE;1;MARCOLIN PAULA 
LIBERI E UGUALI;AMERICA MERIDIONALE;1;ARRIVABENI SILVANA IN RIZZIOLI
LIBERI E UGUALI;AMERICA MERIDIONALE;2;FILIPPI ALBERTO 
LIBERI E UGUALI;AMERICA MERIDIONALE;3;LALLI CLAUDIA RAQUEL 
LIBERI E UGUALI;AMERICA MERIDIONALE;4;CAPRA BRUNO GUALTIERO CESARE 
LIBERI E UGUALI;AMERICA SETTENTRIONALE E CENTRALE;1;D'AVERSA TONINO SANDRO DETTO TONY
LIBERI E UGUALI;EUROPA;1;VARESE FEDERICO 
